                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2565,                 2.2593,                 1.7173,                0.60247,                0.53347,                0.59206,                0.32365,                 1.5187,                 1.5048,                 2.2585,               0.070026,              0.0033304,              0.0033304
                      1,                 1.1165,                 1.4356,                 1.5666,                0.65949,                0.53424,                0.58712,                 0.3129,                 1.6177,                 1.4863,                 2.4877,                0.03996,              0.0065978,              0.0065978
                      2,                 1.1335,                 1.4544,                 1.5882,                0.67989,                0.55557,                 0.6204,                  0.306,                 1.7319,                 1.4182,                 2.7771,              0.0098282,              0.0097992,              0.0097992
                      3,                 1.1378,                 1.4448,                 1.5963,                0.70992,                0.59161,                0.67304,                0.34229,                 1.6923,                  1.314,                 2.6894,               0.009703,               0.009703,               0.009703
                      4,                 1.1057,                 1.3459,                  1.563,                0.81279,                0.60715,                0.70658,                0.37757,                  1.616,                 1.1802,                 2.6259,               0.009703,               0.009703,               0.009703
                      5,                 1.0753,                 1.2701,                 1.5377,                0.74662,                0.62718,                0.71388,                0.38832,                 1.5761,                 1.1513,                 2.4968,               0.009604,               0.009604,               0.009604
                      6,                 1.0453,                 1.2099,                 1.5067,                0.75167,                0.63942,                0.70685,                0.41125,                 1.4694,                 1.1758,                 2.3509,               0.009505,               0.009505,               0.009505
                      7,                 1.0414,                 1.1762,                 1.4993,                0.77098,                0.67526,                0.76224,                0.44842,                 1.4342,                 1.0521,                 2.2867,               0.009406,               0.009406,               0.009406
                      8,                 1.0118,                 1.1293,                 1.4786,                0.78138,                0.68106,                0.75405,                0.45534,                 1.3717,                 1.0358,                  2.145,               0.009307,               0.009307,               0.009307
                      9,                  0.998,                 1.0949,                 1.4681,                0.81021,                0.68904,                0.78124,                0.45122,                 1.4699,                0.98296,                  2.322,               0.009208,               0.009208,               0.009208
                     10,                 0.9942,                 1.0696,                 1.4598,                0.80233,                0.69235,                0.79335,                0.48002,                   1.36,                0.92573,                 2.1286,               0.009109,               0.009109,               0.009109
                     11,                0.97892,                 1.0412,                  1.449,                0.79389,                0.72158,                0.79933,                 0.5032,                 1.2702,                0.89573,                 2.0456,                0.00901,                0.00901,                0.00901
                     12,                0.96703,                  1.019,                  1.442,                0.79284,                0.71307,                0.79229,                0.49765,                 1.2713,                 0.9346,                 2.0044,               0.008911,               0.008911,               0.008911
                     13,                0.95951,                0.99315,                 1.4281,                0.80401,                0.71261,                0.80388,                0.49533,                 1.3171,                0.89201,                 2.1035,               0.008812,               0.008812,               0.008812
                     14,                0.95141,                0.98535,                   1.43,                 0.7924,                0.72783,                 0.8031,                0.51484,                  1.242,                0.89671,                 1.9668,               0.008713,               0.008713,               0.008713
                     15,                0.95291,                0.96676,                 1.4219,                0.80541,                0.71944,                0.80263,                0.50948,                 1.2649,                0.91194,                 1.9945,               0.008614,               0.008614,               0.008614
                     16,                0.94602,                0.95381,                  1.417,                0.81248,                0.71752,                0.81379,                0.52248,                 1.2183,                0.82416,                 1.9439,               0.008515,               0.008515,               0.008515
                     17,                0.93556,                0.93841,                 1.4055,                0.81217,                0.72215,                 0.8221,                0.53178,                 1.2365,                0.82974,                 1.9457,               0.008416,               0.008416,               0.008416
                     18,                0.92959,                0.92671,                  1.406,                 0.8152,                 0.7235,                0.81779,                 0.5334,                 1.2125,                0.83823,                 1.9312,               0.008317,               0.008317,               0.008317
                     19,                 0.9232,                0.91076,                 1.3981,                0.81211,                0.72326,                0.81876,                0.53292,                 1.2232,                0.83952,                 1.9698,               0.008218,               0.008218,               0.008218
                     20,                0.92005,                0.90882,                 1.3945,                0.81589,                0.72724,                 0.8266,                0.53758,                 1.1945,                0.83243,                 1.8899,               0.008119,               0.008119,               0.008119
                     21,                0.92364,                0.89498,                 1.3933,                0.81275,                0.73052,                0.82142,                0.55006,                 1.1632,                0.82972,                 1.8242,                0.00802,                0.00802,                0.00802
                     22,                0.90003,                  0.877,                 1.3864,                0.85756,                0.72933,                0.83425,                0.56652,                 1.1033,                0.79514,                 1.7847,               0.007921,               0.007921,               0.007921
                     23,                0.90892,                0.87271,                 1.3838,                0.82377,                0.74269,                0.82784,                0.55312,                 1.1213,                0.78814,                  1.795,               0.007822,               0.007822,               0.007822
                     24,                0.89565,                0.85497,                  1.376,                0.82484,                0.74465,                0.83187,                 0.5653,                 1.1048,                0.82055,                  1.787,               0.007723,               0.007723,               0.007723
                     25,                0.89444,                0.84941,                 1.3733,                0.80923,                 0.7541,                0.83126,                0.55737,                 1.1457,                0.77878,                 1.8405,               0.007624,               0.007624,               0.007624
                     26,                0.89472,                0.84239,                 1.3717,                0.82501,                0.75661,                0.84178,                 0.5738,                 1.1015,                0.76229,                 1.7712,               0.007525,               0.007525,               0.007525
                     27,                 0.8901,                0.83406,                 1.3649,                0.81985,                0.75175,                0.83825,                0.57644,                 1.0829,                0.76753,                 1.7417,               0.007426,               0.007426,               0.007426
                     28,                 0.8823,                0.82245,                 1.3623,                0.83526,                0.74193,                0.83406,                0.57349,                 1.0811,                0.76869,                 1.7322,               0.007327,               0.007327,               0.007327
                     29,                 0.8832,                0.81445,                 1.3612,                 0.8145,                0.76259,                 0.8426,                 0.5777,                 1.0803,                  0.769,                 1.7233,               0.007228,               0.007228,               0.007228
                     30,                0.87226,                0.80275,                  1.358,                0.83954,                0.76351,                 0.8415,                0.58101,                 1.0695,                0.74578,                 1.7223,               0.007129,               0.007129,               0.007129
                     31,                0.87565,                0.80218,                 1.3527,                0.83214,                0.76501,                0.84382,                0.58284,                 1.0696,                0.73758,                 1.7269,                0.00703,                0.00703,                0.00703
                     32,                0.87654,                 0.7979,                 1.3546,                0.82725,                 0.7619,                0.84188,                0.58752,                 1.0378,                0.74547,                 1.6739,               0.006931,               0.006931,               0.006931
                     33,                0.87743,                0.79861,                 1.3506,                0.82661,                0.76826,                0.84279,                0.59024,                 1.0256,                0.72854,                 1.6617,               0.006832,               0.006832,               0.006832
                     34,                0.87133,                0.78872,                 1.3502,                0.84399,                0.75538,                0.84159,                 0.5893,                 1.0321,                0.73561,                  1.671,               0.006733,               0.006733,               0.006733
                     35,                0.87223,                0.78057,                 1.3476,                0.83114,                0.75622,                0.83981,                0.58763,                 1.0373,                0.74311,                 1.6694,               0.006634,               0.006634,               0.006634
                     36,                0.86273,                0.77428,                 1.3375,                 0.8251,                0.75048,                0.83886,                0.58796,                 1.0255,                0.74064,                 1.6529,               0.006535,               0.006535,               0.006535
                     37,                0.86474,                  0.768,                   1.34,                0.82139,                  0.763,                0.84195,                0.59018,                 1.0221,                0.73137,                 1.6486,               0.006436,               0.006436,               0.006436
                     38,                0.85367,                0.75662,                 1.3315,                0.83837,                 0.7515,                0.84199,                0.59079,                 1.0175,                0.73246,                 1.6498,               0.006337,               0.006337,               0.006337
                     39,                0.85726,                0.75085,                 1.3339,                0.82947,                0.76284,                0.84281,                0.59685,                  1.012,                0.73187,                  1.642,               0.006238,               0.006238,               0.006238
                     40,                0.85006,                0.74615,                 1.3323,                0.84157,                0.75434,                0.84542,                0.60153,                 1.0047,                0.72763,                 1.6294,               0.006139,               0.006139,               0.006139
                     41,                0.84652,                0.74423,                 1.3245,                0.83051,                0.76491,                0.84489,                0.60319,                0.99998,                0.72436,                 1.6208,                0.00604,                0.00604,                0.00604
                     42,                0.84634,                0.73856,                 1.3251,                0.83906,                0.75032,                0.84564,                0.60006,                  0.998,                0.72484,                 1.6171,               0.005941,               0.005941,               0.005941
                     43,                0.84474,                0.73692,                 1.3233,                0.85068,                0.74514,                0.84415,                 0.6003,                 1.0026,                0.72956,                 1.6251,               0.005842,               0.005842,               0.005842
                     44,                0.83923,                0.73365,                 1.3226,                0.81318,                0.77286,                0.84515,                0.59939,                 1.0012,                0.72832,                  1.621,               0.005743,               0.005743,               0.005743
                     45,                0.83088,                0.71826,                 1.3142,                0.81127,                0.77551,                0.84607,                 0.6008,                0.99788,                0.72495,                 1.6135,               0.005644,               0.005644,               0.005644
                     46,                0.83623,                0.71756,                 1.3126,                0.83041,                0.76668,                0.84618,                 0.6013,                0.99642,                0.72327,                 1.6133,               0.005545,               0.005545,               0.005545
                     47,                0.82667,                0.70737,                 1.3093,                 0.8125,                0.77793,                0.84643,                0.60072,                0.99504,                0.72309,                 1.6096,               0.005446,               0.005446,               0.005446
                     48,                0.82514,                0.70585,                 1.3108,                0.82672,                0.76739,                0.84587,                0.59978,                0.99264,                0.72356,                 1.6069,               0.005347,               0.005347,               0.005347
                     49,                 0.8155,                0.69717,                 1.3064,                0.81189,                0.77524,                0.84489,                0.60102,                0.98783,                0.72422,                 1.5989,               0.005248,               0.005248,               0.005248
                     50,                0.82039,                0.69664,                 1.3029,                0.82071,                0.77227,                  0.844,                0.60165,                0.98316,                0.72406,                 1.5941,               0.005149,               0.005149,               0.005149
                     51,                0.80819,                0.68155,                 1.2974,                0.81836,                0.77204,                0.84362,                0.60369,                0.97759,                  0.721,                 1.5857,                0.00505,                0.00505,                0.00505
                     52,                0.80377,                0.68241,                 1.2907,                0.82021,                0.77138,                0.84336,                0.60459,                  0.973,                0.71847,                 1.5784,               0.004951,               0.004951,               0.004951
                     53,                0.80242,                0.67316,                 1.2932,                0.81842,                0.77098,                0.84373,                0.60562,                0.96927,                0.71712,                 1.5743,               0.004852,               0.004852,               0.004852
                     54,                0.80118,                0.66768,                 1.2889,                0.81564,                0.77603,                0.84435,                0.60697,                0.96569,                0.71597,                 1.5709,               0.004753,               0.004753,               0.004753
